ten_bang,ten_cot,kieu_du_lieu,so_gia_tri_thieu,ty_le_thieu_phan_tram
orders,order_id,string,0,0.0
orders,customer_id,string,0,0.0
orders,order_status,string,0,0.0
orders,order_purchase_timestamp,string,0,0.0
orders,order_approved_at,string,160,0.1609
orders,order_delivered_carrier_date,string,1783,1.793
orders,order_delivered_customer_date,string,2965,2.9817
orders,order_estimated_delivery_date,string,0,0.0
order_items,order_id,string,0,0.0
order_items,order_item_id,int,0,0.0
order_items,product_id,string,0,0.0
order_items,seller_id,string,0,0.0
order_items,shipping_limit_date,string,0,0.0
order_items,price,double,0,0.0
order_items,freight_value,double,0,0.0
customers,customer_id,string,0,0.0
customers,customer_unique_id,string,0,0.0
customers,customer_zip_code_prefix,int,0,0.0
customers,customer_city,string,0,0.0
customers,customer_state,string,0,0.0
payments,order_id,string,0,0.0
payments,payment_sequential,int,0,0.0
payments,payment_type,string,0,0.0
payments,payment_installments,int,0,0.0
payments,payment_value,double,0,0.0
reviews,review_id,string,0,0.0
reviews,order_id,string,0,0.0
reviews,review_score,int,0,0.0
reviews,review_comment_title,string,87656,88.3415
reviews,review_comment_message,string,58247,58.7025
reviews,review_creation_date,string,0,0.0
reviews,review_answer_timestamp,string,0,0.0
products,product_id,string,0,0.0
products,product_category_name,string,610,1.8512
products,product_name_lenght,int,610,1.8512
products,product_description_lenght,int,610,1.8512
products,product_photos_qty,int,610,1.8512
products,product_weight_g,int,2,0.0061
products,product_length_cm,int,2,0.0061
products,product_height_cm,int,2,0.0061
products,product_width_cm,int,2,0.0061
sellers,seller_id,string,0,0.0
sellers,seller_zip_code_prefix,int,0,0.0
sellers,seller_city,string,0,0.0
sellers,seller_state,string,0,0.0
category_translation,product_category_name,string,0,0.0
category_translation,product_category_name_english,string,0,0.0
