thang,tong_don,so_don_tre,ty_le_tre_phan_tram
2016-09,1,1,100.0
2016-10,265,2,0.75
2016-12,1,0,0.0
2017-01,750,22,2.93
2017-02,1653,49,2.96
2017-03,2546,116,4.56
2017-04,2303,151,6.56
2017-05,3545,106,2.99
2017-06,3135,95,3.03
2017-07,3872,108,2.79
2017-08,4193,122,2.91
2017-09,4150,182,4.39
2017-10,4478,187,4.18
2017-11,7288,904,12.4
2017-12,5513,411,7.46
2018-01,7069,403,5.7
2018-02,6555,926,14.13
2018-03,7003,1328,18.96
2018-04,6798,306,4.5
2018-05,6749,443,6.56
2018-06,6096,71,1.16
2018-07,6156,208,3.38
2018-08,6351,393,6.19
