kiem_tra,trang_thai,chi_tiet
Không có feature leakage,PASS,feature leakage=[]
Feature nằm trong danh sách được xác nhận,PASS,feature ngoài danh sách=[]
"Dataset có đủ order_id, label và feature",PASS,cột thiếu=[]
order_id không null,PASS,order_id null=0
Label không null,PASS,label null=0
Label chỉ nhận 0 hoặc 1,PASS,label ngoài 0/1=0
Numeric feature không có NaN hoặc Infinity,PASS,số bất thường theo feature={}
Số dòng bằng số order_id khác nhau,PASS,"dòng=96470, order_id khác nhau=96470"
train_full + test bằng toàn bộ data,PASS,77379+19091=96470
train_fit + validation bằng train_full,PASS,62054+15325=77379
train_full và test không giao order_id,PASS,giao nhau=0
train_fit và validation không giao order_id,PASS,giao nhau=0
train_fit có đủ hai class để xác định baseline,PASS,"counts=[{'is_late': 0.0, 'count': 57828}, {'is_late': 1.0, 'count': 4226}]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.06831973898858075]"
Confusion matrix Baseline majority class bằng số dòng tập đánh giá,PASS,"TP+TN+FP+FN=15325, số dòng=15325"
TP+FN Baseline majority class bằng số late thật,PASS,TP+FN=1047
TN+FP Baseline majority class bằng số not late thật,PASS,TN+FP=14278
TP+FP Baseline majority class bằng số order được cảnh báo,PASS,"TP+FP=0, cảnh báo=0"
TN+FN Baseline majority class bằng số order không được cảnh báo,PASS,"TN+FN=15325, không cảnh báo=15325"
AUC baseline validation bằng 0.5,PASS,AUC=0.5
Preprocessing train_fit giữ nguyên số dòng,PASS,"trước=62054, sau=62054"
Metadata có tên cho toàn bộ transformed feature,PASS,"num_attrs=141, số tên=141"
Validation preprocessing giữ nguyên số dòng,PASS,"trước=15325, sau=15325"
Hai model có đủ probability trên validation,PASS,"join=15325, validation=15325"
F1 theo hai công thức khớp nhau,PASS,"F1=0.12859518383937921, F1 trực tiếp=0.12859518383937921"
