pham_vi_fit,feature_index,transformed_feature_name,feature_goc,metadata_attribute_type
train_fit,0,item_count_filled,item_count,numeric
train_fit,1,product_count_filled,product_count,numeric
train_fit,2,seller_count_filled,seller_count,numeric
train_fit,3,total_price_filled,total_price,numeric
train_fit,4,total_freight_filled,total_freight,numeric
train_fit,5,average_item_price_filled,average_item_price,numeric
train_fit,6,total_weight_g_filled,total_weight_g,numeric
train_fit,7,total_volume_cm3_filled,total_volume_cm3,numeric
train_fit,8,freight_ratio_filled,freight_ratio,numeric
train_fit,9,purchase_year_filled,purchase_year,numeric
train_fit,10,purchase_month_filled,purchase_month,numeric
train_fit,11,purchase_day_of_week_filled,purchase_day_of_week,numeric
train_fit,12,purchase_hour_filled,purchase_hour,numeric
train_fit,13,estimated_delivery_days_filled,estimated_delivery_days,numeric
train_fit,14,customer_seller_same_state_filled,customer_seller_same_state,numeric
train_fit,15,customer_state_ohe_SP,customer_state,binary
train_fit,16,customer_state_ohe_RJ,customer_state,binary
train_fit,17,customer_state_ohe_MG,customer_state,binary
train_fit,18,customer_state_ohe_RS,customer_state,binary
train_fit,19,customer_state_ohe_PR,customer_state,binary
train_fit,20,customer_state_ohe_SC,customer_state,binary
train_fit,21,customer_state_ohe_BA,customer_state,binary
train_fit,22,customer_state_ohe_DF,customer_state,binary
train_fit,23,customer_state_ohe_ES,customer_state,binary
train_fit,24,customer_state_ohe_GO,customer_state,binary
train_fit,25,customer_state_ohe_PE,customer_state,binary
train_fit,26,customer_state_ohe_CE,customer_state,binary
train_fit,27,customer_state_ohe_PA,customer_state,binary
train_fit,28,customer_state_ohe_MT,customer_state,binary
train_fit,29,customer_state_ohe_MA,customer_state,binary
train_fit,30,customer_state_ohe_MS,customer_state,binary
train_fit,31,customer_state_ohe_PB,customer_state,binary
train_fit,32,customer_state_ohe_PI,customer_state,binary
train_fit,33,customer_state_ohe_RN,customer_state,binary
train_fit,34,customer_state_ohe_AL,customer_state,binary
train_fit,35,customer_state_ohe_SE,customer_state,binary
train_fit,36,customer_state_ohe_TO,customer_state,binary
train_fit,37,customer_state_ohe_RO,customer_state,binary
train_fit,38,customer_state_ohe_AM,customer_state,binary
train_fit,39,customer_state_ohe_AC,customer_state,binary
train_fit,40,customer_state_ohe_AP,customer_state,binary
train_fit,41,customer_state_ohe_RR,customer_state,binary
train_fit,42,customer_state_ohe___unknown,customer_state,binary
train_fit,43,main_seller_state_ohe_SP,main_seller_state,binary
train_fit,44,main_seller_state_ohe_MG,main_seller_state,binary
train_fit,45,main_seller_state_ohe_PR,main_seller_state,binary
train_fit,46,main_seller_state_ohe_RJ,main_seller_state,binary
train_fit,47,main_seller_state_ohe_SC,main_seller_state,binary
train_fit,48,main_seller_state_ohe_RS,main_seller_state,binary
train_fit,49,main_seller_state_ohe_DF,main_seller_state,binary
train_fit,50,main_seller_state_ohe_BA,main_seller_state,binary
train_fit,51,main_seller_state_ohe_GO,main_seller_state,binary
train_fit,52,main_seller_state_ohe_MA,main_seller_state,binary
train_fit,53,main_seller_state_ohe_PE,main_seller_state,binary
train_fit,54,main_seller_state_ohe_ES,main_seller_state,binary
train_fit,55,main_seller_state_ohe_MT,main_seller_state,binary
train_fit,56,main_seller_state_ohe_CE,main_seller_state,binary
train_fit,57,main_seller_state_ohe_RN,main_seller_state,binary
train_fit,58,main_seller_state_ohe_MS,main_seller_state,binary
train_fit,59,main_seller_state_ohe_PB,main_seller_state,binary
train_fit,60,main_seller_state_ohe_RO,main_seller_state,binary
train_fit,61,main_seller_state_ohe_PI,main_seller_state,binary
train_fit,62,main_seller_state_ohe_PA,main_seller_state,binary
train_fit,63,main_seller_state_ohe_SE,main_seller_state,binary
train_fit,64,main_seller_state_ohe_AM,main_seller_state,binary
train_fit,65,main_seller_state_ohe___unknown,main_seller_state,binary
train_fit,66,main_category_ohe_bed_bath_table,main_category,binary
train_fit,67,main_category_ohe_health_beauty,main_category,binary
train_fit,68,main_category_ohe_sports_leisure,main_category,binary
train_fit,69,main_category_ohe_computers_accessories,main_category,binary
train_fit,70,main_category_ohe_furniture_decor,main_category,binary
train_fit,71,main_category_ohe_housewares,main_category,binary
train_fit,72,main_category_ohe_watches_gifts,main_category,binary
train_fit,73,main_category_ohe_telephony,main_category,binary
train_fit,74,main_category_ohe_auto,main_category,binary
train_fit,75,main_category_ohe_toys,main_category,binary
train_fit,76,main_category_ohe_cool_stuff,main_category,binary
train_fit,77,main_category_ohe_garden_tools,main_category,binary
train_fit,78,main_category_ohe_perfumery,main_category,binary
train_fit,79,main_category_ohe_baby,main_category,binary
train_fit,80,main_category_ohe_electronics,main_category,binary
train_fit,81,main_category_ohe_stationery,main_category,binary
train_fit,82,main_category_ohe_fashion_bags_accessories,main_category,binary
train_fit,83,main_category_ohe_pet_shop,main_category,binary
train_fit,84,main_category_ohe_khong_xac_dinh,main_category,binary
train_fit,85,main_category_ohe_office_furniture,main_category,binary
train_fit,86,main_category_ohe_luggage_accessories,main_category,binary
train_fit,87,main_category_ohe_consoles_games,main_category,binary
train_fit,88,main_category_ohe_construction_tools_construction,main_category,binary
train_fit,89,main_category_ohe_home_appliances,main_category,binary
train_fit,90,main_category_ohe_musical_instruments,main_category,binary
train_fit,91,main_category_ohe_small_appliances,main_category,binary
train_fit,92,main_category_ohe_books_general_interest,main_category,binary
train_fit,93,main_category_ohe_home_construction,main_category,binary
train_fit,94,main_category_ohe_food,main_category,binary
train_fit,95,main_category_ohe_furniture_living_room,main_category,binary
train_fit,96,main_category_ohe_audio,main_category,binary
train_fit,97,main_category_ohe_home_confort,main_category,binary
train_fit,98,main_category_ohe_market_place,main_category,binary
train_fit,99,main_category_ohe_drinks,main_category,binary
train_fit,100,main_category_ohe_books_technical,main_category,binary
train_fit,101,main_category_ohe_construction_tools_lights,main_category,binary
train_fit,102,main_category_ohe_air_conditioning,main_category,binary
train_fit,103,main_category_ohe_food_drink,main_category,binary
train_fit,104,main_category_ohe_home_appliances_2,main_category,binary
train_fit,105,main_category_ohe_fashion_shoes,main_category,binary
train_fit,106,main_category_ohe_kitchen_dining_laundry_garden_furniture,main_category,binary
train_fit,107,main_category_ohe_industry_commerce_and_business,main_category,binary
train_fit,108,main_category_ohe_fixed_telephony,main_category,binary
train_fit,109,main_category_ohe_costruction_tools_garden,main_category,binary
train_fit,110,main_category_ohe_art,main_category,binary
train_fit,111,main_category_ohe_computers,main_category,binary
train_fit,112,main_category_ohe_agro_industry_and_commerce,main_category,binary
train_fit,113,main_category_ohe_construction_tools_safety,main_category,binary
train_fit,114,main_category_ohe_fashion_underwear_beach,main_category,binary
train_fit,115,main_category_ohe_signaling_and_security,main_category,binary
train_fit,116,main_category_ohe_christmas_supplies,main_category,binary
train_fit,117,main_category_ohe_fashion_male_clothing,main_category,binary
train_fit,118,main_category_ohe_costruction_tools_tools,main_category,binary
train_fit,119,main_category_ohe_furniture_bedroom,main_category,binary
train_fit,120,main_category_ohe_cine_photo,main_category,binary
train_fit,121,main_category_ohe_small_appliances_home_oven_and_coffee,main_category,binary
train_fit,122,main_category_ohe_tablets_printing_image,main_category,binary
train_fit,123,main_category_ohe_books_imported,main_category,binary
train_fit,124,main_category_ohe_dvds_blu_ray,main_category,binary
train_fit,125,main_category_ohe_music,main_category,binary
train_fit,126,main_category_ohe_party_supplies,main_category,binary
train_fit,127,main_category_ohe_furniture_mattress_and_upholstery,main_category,binary
train_fit,128,main_category_ohe_fashio_female_clothing,main_category,binary
train_fit,129,main_category_ohe_flowers,main_category,binary
train_fit,130,main_category_ohe_home_comfort_2,main_category,binary
train_fit,131,main_category_ohe_fashion_sport,main_category,binary
train_fit,132,main_category_ohe_arts_and_craftmanship,main_category,binary
train_fit,133,main_category_ohe_diapers_and_hygiene,main_category,binary
train_fit,134,main_category_ohe_la_cuisine,main_category,binary
train_fit,135,main_category_ohe_portateis_cozinha_e_preparadores_de_alimentos,main_category,binary
train_fit,136,main_category_ohe_cds_dvds_musicals,main_category,binary
train_fit,137,main_category_ohe_fashion_childrens_clothes,main_category,binary
train_fit,138,main_category_ohe_pc_gamer,main_category,binary
