pham_vi_fit,feature_goc,string_index,category,la_nhom_invalid
train_fit,customer_state,0,SP,0
train_fit,customer_state,1,RJ,0
train_fit,customer_state,2,MG,0
train_fit,customer_state,3,RS,0
train_fit,customer_state,4,PR,0
train_fit,customer_state,5,SC,0
train_fit,customer_state,6,BA,0
train_fit,customer_state,7,DF,0
train_fit,customer_state,8,ES,0
train_fit,customer_state,9,GO,0
train_fit,customer_state,10,PE,0
train_fit,customer_state,11,CE,0
train_fit,customer_state,12,PA,0
train_fit,customer_state,13,MT,0
train_fit,customer_state,14,MA,0
train_fit,customer_state,15,MS,0
train_fit,customer_state,16,PB,0
train_fit,customer_state,17,PI,0
train_fit,customer_state,18,RN,0
train_fit,customer_state,19,AL,0
train_fit,customer_state,20,SE,0
train_fit,customer_state,21,TO,0
train_fit,customer_state,22,RO,0
train_fit,customer_state,23,AM,0
train_fit,customer_state,24,AC,0
train_fit,customer_state,25,AP,0
train_fit,customer_state,26,RR,0
train_fit,customer_state,27,__unknown_or_unseen__,1
train_fit,main_seller_state,0,SP,0
train_fit,main_seller_state,1,MG,0
train_fit,main_seller_state,2,PR,0
train_fit,main_seller_state,3,RJ,0
train_fit,main_seller_state,4,SC,0
train_fit,main_seller_state,5,RS,0
train_fit,main_seller_state,6,DF,0
train_fit,main_seller_state,7,BA,0
train_fit,main_seller_state,8,GO,0
train_fit,main_seller_state,9,MA,0
train_fit,main_seller_state,10,PE,0
train_fit,main_seller_state,11,ES,0
train_fit,main_seller_state,12,MT,0
train_fit,main_seller_state,13,CE,0
train_fit,main_seller_state,14,RN,0
train_fit,main_seller_state,15,MS,0
train_fit,main_seller_state,16,PB,0
train_fit,main_seller_state,17,RO,0
train_fit,main_seller_state,18,PI,0
train_fit,main_seller_state,19,PA,0
train_fit,main_seller_state,20,SE,0
train_fit,main_seller_state,21,AM,0
train_fit,main_seller_state,22,__unknown_or_unseen__,1
train_fit,main_category,0,bed_bath_table,0
train_fit,main_category,1,health_beauty,0
train_fit,main_category,2,sports_leisure,0
train_fit,main_category,3,computers_accessories,0
train_fit,main_category,4,furniture_decor,0
