xep_hang,giai_do,common_threshold,hop_le_alert_rate,logistic_tp,logistic_tn,logistic_fp,logistic_fn,logistic_accuracy,logistic_precision,logistic_recall,logistic_specificity,logistic_fpr,logistic_f1,logistic_auc,logistic_alert_rate,random_forest_tp,random_forest_tn,random_forest_fp,random_forest_fn,random_forest_accuracy,random_forest_precision,random_forest_recall,random_forest_specificity,random_forest_fpr,random_forest_f1,random_forest_auc,random_forest_alert_rate,average_f1,minimum_f1,average_recall,average_alert_rate
1,refine,0.094,1,458,11692,2586,589,0.7928221859706363,0.1504599211563732,0.437440305635148,0.8188821963860484,0.18111780361395152,0.22390613541921292,0.6958512993387037,0.19862969004893963,192,13772,506,855,0.9111908646003263,0.27507163323782235,0.1833810888252149,0.9645608628659477,0.03543913713405239,0.2200573065902579,0.6845017608457954,0.04554649265905383,0.2219817210047354,0.2200573065902579,0.31041069723018144,0.12208809135399673
2,refine,0.095,1,453,11737,2541,594,0.7954323001631322,0.15130260521042085,0.4326647564469914,0.8220338983050848,0.17796610169491525,0.22420193021529328,0.6958512993387037,0.19536704730831975,173,13836,442,874,0.9141272430668842,0.2813008130081301,0.16523400191021967,0.9690432833730215,0.03095671662697857,0.20818291215403129,0.6845017608457954,0.04013050570962479,0.21619242118466228,0.20818291215403129,0.29894937917860553,0.11774877650897227
3,refine,0.096,1,446,11797,2481,601,0.7988907014681892,0.15237444482405194,0.4259789875835721,0.8262361675304665,0.17376383246953356,0.2244589833920483,0.6958512993387037,0.19099510603588907,159,13886,392,888,0.9164763458401305,0.2885662431941924,0.1518624641833811,0.9725451743941729,0.027454825605827148,0.19899874843554446,0.6845017608457954,0.03595432300163132,0.2117288659137964,0.19899874843554446,0.2889207258834766,0.11347471451876019
4,refine,0.097,1,438,11855,2423,609,0.8021533442088091,0.15309332401258302,0.4183381088825215,0.8302983611150021,0.1697016388849979,0.22415557830092123,0.6958512993387037,0.1866884176182708,151,13920,358,896,0.9181729200652529,0.2966601178781925,0.14422158548233047,0.9749264602885558,0.02507353971144418,0.1940874035989717,0.6845017608457954,0.033213703099510605,0.20912149094994648,0.1940874035989717,0.281279847182426,0.1099510603588907
5,refine,0.098,1,431,11912,2366,616,0.8054159869494291,0.15409367179120487,0.41165234001910217,0.8342905168791147,0.16570948312088526,0.22424557752341312,0.6958512993387037,0.18251223491027732,147,13948,330,900,0.9197389885807504,0.3081761006289308,0.14040114613180515,0.9768875192604006,0.023112480739599383,0.19291338582677164,0.6845017608457954,0.031125611745513867,0.20857948167509238,0.19291338582677164,0.27602674307545366,0.1068189233278956
6,refine,0.099,1,425,11961,2317,622,0.8082218597063622,0.1549963530269876,0.4059216809933142,0.8377223700798431,0.16227762992015687,0.22433359725521246,0.6958512993387037,0.17892332789559542,132,13984,294,915,0.9211092985318108,0.30985915492957744,0.12607449856733524,0.9794088807956296,0.02059111920437036,0.17922606924643583,0.6845017608457954,0.027797716150081565,0.20177983325082416,0.17922606924643583,0.26599808978032474,0.10336052202283849
7,coarse,0.1,1,420,12008,2270,627,0.8109624796084829,0.15613382899628253,0.40114613180515757,0.8410141476397255,0.15898585236027454,0.2247792346802248,0.6958512993387037,0.17553017944535074,122,14010,268,925,0.9221533442088091,0.3128205128205128,0.11652340019102196,0.9812298641266284,0.018770135873371622,0.1697981906750174,0.6845017608457954,0.025448613376835235,0.1972887126776211,0.1697981906750174,0.25883476599808974,0.10048939641109299
8,refine,0.1,1,420,12008,2270,627,0.8109624796084829,0.15613382899628253,0.40114613180515757,0.8410141476397255,0.15898585236027454,0.2247792346802248,0.6958512993387037,0.17553017944535074,122,14010,268,925,0.9221533442088091,0.3128205128205128,0.11652340019102196,0.9812298641266284,0.018770135873371622,0.1697981906750174,0.6845017608457954,0.025448613376835235,0.1972887126776211,0.1697981906750174,0.25883476599808974,0.10048939641109299
9,refine,0.101,1,413,12065,2213,634,0.8142251223491028,0.15727341964965727,0.3944603629417383,0.8450063034038381,0.15499369659616194,0.22488429077048733,0.6958512993387037,0.17135399673735727,111,14049,229,936,0.9239804241435563,0.3264705882352941,0.10601719197707736,0.9839613391231264,0.01603866087687351,0.16005767844268204,0.6845017608457954,0.022185970636215333,0.19247098460658468,0.16005767844268204,0.2502387774594078,0.0967699836867863
10,refine,0.102,1,407,12121,2157,640,0.8174877650897227,0.15873634945397816,0.38872970391595035,0.8489284213475277,0.15107157865247234,0.22542232068679038,0.6958512993387037,0.16730831973898858,103,14069,209,944,0.924763458401305,0.3301282051282051,0.09837631327602674,0.985362095531587,0.014637904468412942,0.15158204562178068,0.6845017608457954,0.02035889070146819,0.18850218315428552,0.15158204562178068,0.24355300859598855,0.09383360522022838
11,refine,0.103,1,400,12165,2113,647,0.8199021207177815,0.15917230401910068,0.38204393505253104,0.8520100854461409,0.1479899145538591,0.2247191011235955,0.6958512993387037,0.1639804241435563,98,14088,190,949,0.9256769983686787,0.3402777777777778,0.0936007640878701,0.9866928141196246,0.013307185880375402,0.14681647940074907,0.6845017608457954,0.018792822185970635,0.18576779026217227,0.14681647940074907,0.23782234957020057,0.09138662316476347
12,refine,0.104,1,397,12209,2069,650,0.8225774877650898,0.16098945660989455,0.37917860553963706,0.8550917495447542,0.14490825045524583,0.2260176487332764,0.6958512993387037,0.16091353996737356,92,14110,168,955,0.926721044045677,0.35384615384615387,0.08787010506208214,0.9882336461689312,0.011766353831068777,0.1407804131599082,0.6845017608457954,0.016965742251223492,0.1833990309465923,0.1407804131599082,0.2335243553008596,0.08893964110929853
13,refine,0.105,1,391,12254,2024,656,0.8251223491027733,0.1619047619047619,0.3734479465138491,0.8582434514637904,0.14175654853620956,0.22588099364529174,0.6958512993387037,0.15758564437194128,75,14142,136,972,0.927699836867863,0.35545023696682465,0.07163323782234957,0.9904748564224681,0.009525143577531868,0.1192368839427663,0.6845017608457954,0.013768352365415987,0.172558938794029,0.1192368839427663,0.22254059216809935,0.08567699836867863
14,refine,0.106,1,388,12300,1978,659,0.8279282218597064,0.16398985629754861,0.37058261700095513,0.8614651912032497,0.13853480879675026,0.22736595370641666,0.6958512993387037,0.15438825448613377,66,14158,120,981,0.9281566068515498,0.3548387096774194,0.06303724928366762,0.9915954615492366,0.008404538450763412,0.10705596107055962,0.6845017608457954,0.012137030995106036,0.16721095738848812,0.10705596107055962,0.21680993314231137,0.08326264274061991
15,refine,0.107,1,382,12343,1935,665,0.8303425774877651,0.16486836426413465,0.3648519579751671,0.86447681748144,0.13552318251856002,0.22711058263971462,0.6958512993387037,0.15119086460032627,61,14169,109,986,0.9285481239804242,0.3588235294117647,0.05826170009551098,0.9923658775738899,0.0076341224261101,0.10024650780608052,0.6845017608457954,0.011092985318107667,0.16367854522289757,0.10024650780608052,0.21155682903533904,0.08114192495921697
16,refine,0.108,1,376,12393,1885,671,0.8332137030995106,0.16629809818664307,0.35912129894937916,0.8679787085025914,0.1320212914974086,0.2273276904474002,0.6958512993387037,0.14753670473083197,44,14193,85,1003,0.9290048939641109,0.34108527131782945,0.04202483285577841,0.9940467852640426,0.005953214735957417,0.07482993197278912,0.6845017608457954,0.008417618270799348,0.15107881121009464,0.07482993197278912,0.20057306590257878,0.07797716150081566
17,refine,0.109,1,368,12436,1842,679,0.8354975530179445,0.1665158371040724,0.35148042024832854,0.8709903347807816,0.1290096652192184,0.22597482345716915,0.6958512993387037,0.14420880913539968,35,14209,69,1012,0.9294616639477977,0.33653846153846156,0.033428844317096466,0.995167390390811,0.004832609609188962,0.060816681146828845,0.6845017608457954,0.006786296900489396,0.143395752301999,0.060816681146828845,0.1924546322827125,0.07549755301794454
18,coarse,0.11,1,367,12472,1806,680,0.8377814029363785,0.1688909341923608,0.35052531041069723,0.8735116963160107,0.12648830368398936,0.2279503105590062,0.6958512993387037,0.14179445350734093,30,14217,61,1017,0.9296574225122349,0.32967032967032966,0.02865329512893983,0.9957276929541953,0.0042723070458047345,0.05272407732864675,0.6845017608457954,0.005938009787928222,0.14033719394382646,0.05272407732864675,0.18958930276981853,0.07386623164763458
19,refine,0.11,1,367,12472,1806,680,0.8377814029363785,0.1688909341923608,0.35052531041069723,0.8735116963160107,0.12648830368398936,0.2279503105590062,0.6958512993387037,0.14179445350734093,30,14217,61,1017,0.9296574225122349,0.32967032967032966,0.02865329512893983,0.9957276929541953,0.0042723070458047345,0.05272407732864675,0.6845017608457954,0.005938009787928222,0.14033719394382646,0.05272407732864675,0.18958930276981853,0.07386623164763458
20,refine,0.111,1,362,12521,1757,685,0.840652528548124,0.1708352996696555,0.3457497612225406,0.876943549516739,0.12305645048326096,0.22867972204674672,0.6958512993387037,0.13827079934747144,26,14225,53,1021,0.9299184339314845,0.3291139240506329,0.024832855778414518,0.9962879955175795,0.0037120044824205073,0.04618117229129662,0.6845017608457954,0.0051549755301794455,0.13743044716902167,0.04618117229129662,0.18529130850047756,0.07171288743882544
21,refine,0.112,1,358,12566,1712,689,0.8433278955954323,0.17294685990338166,0.3419293218720153,0.8800952514357753,0.11990474856422469,0.22970805261469365,0.6958512993387037,0.13507340946166393,21,14235,43,1026,0.9302446982055464,0.328125,0.02005730659025788,0.9969883737218098,0.003011626278190223,0.037803780378037805,0.6845017608457954,0.004176182707993475,0.13375591649636573,0.037803780378037805,0.1809933142311366,0.0696247960848287
22,refine,0.113,1,352,12609,1669,695,0.845742251223491,0.17417120237506184,0.3361986628462273,0.8831068777139656,0.11689312228603446,0.22946544980443284,0.6958512993387037,0.13187601957585646,16,14243,35,1031,0.9304404567699837,0.3137254901960784,0.015281757402101241,0.9975486762851941,0.0024513237148059953,0.029143897996357013,0.6845017608457954,0.0033278955954323002,0.12930467390039493,0.029143897996357013,0.17574021012416427,0.06760195758564438
23,refine,0.114,1,349,12645,1633,698,0.8478955954323002,0.17608476286579214,0.3333333333333333,0.8856282392491945,0.11437176075080543,0.23043908880818753,0.6958512993387037,0.12933115823817293,15,14247,31,1032,0.9306362153344209,0.32608695652173914,0.014326647564469915,0.9978288275668861,0.0021711724331138814,0.027447392497712716,0.6845017608457954,0.00300163132137031,0.12894324065295013,0.027447392497712716,0.17382999044890163,0.06616639477977163
24,refine,0.115,1,342,12688,1590,705,0.8502446982055465,0.17701863354037267,0.32664756446991405,0.8886398655273848,0.11136013447261521,0.22960725075528698,0.6958512993387037,0.12606851549755302,14,14248,30,1033,0.9306362153344209,0.3181818181818182,0.013371537726838587,0.9978988653873091,0.002101134612690853,0.025664527956003668,0.6845017608457954,0.002871125611745514,0.12763588935564532,0.025664527956003668,0.17000955109837632,0.06446982055464927
25,refine,0.116,1,338,12717,1561,709,0.8518760195758565,0.1779884149552396,0.3228271251193887,0.8906709623196526,0.1093290376803474,0.2294636795655125,0.6958512993387037,0.12391517128874388,14,14249,29,1033,0.9307014681892333,0.32558139534883723,0.013371537726838587,0.9979689032077321,0.0020310967922678247,0.025688073394495414,0.6845017608457954,0.0028058727569331156,0.12757587648000396,0.025688073394495414,0.16809933142311365,0.0633605220228385
26,refine,0.117,1,331,12746,1532,716,0.8533115823817292,0.17767042404723565,0.31614135625596945,0.8927020591119205,0.10729794088807956,0.2274914089347079,0.6958512993387037,0.12156606851549755,13,14251,27,1034,0.9307667210440457,0.325,0.012416427889207259,0.9981089788485782,0.0018910211514217678,0.023919043238270467,0.6845017608457954,0.0026101141924959217,0.12570522608648918,0.023919043238270467,0.16427889207258836,0.06208809135399673
27,refine,0.119,1,321,12809,1469,726,0.8567699836867863,0.1793296089385475,0.30659025787965616,0.8971144417985712,0.10288555820142878,0.22629538244624603,0.6958512993387037,0.11680261011419249,13,14256,22,1034,0.9310929853181077,0.37142857142857144,0.012416427889207259,0.9984591679506933,0.0015408320493066256,0.024029574861367836,0.6845017608457954,0.0022838499184339315,0.12516247865380692,0.024029574861367836,0.15950334288443171,0.05954323001631321
28,refine,0.122,1,311,12908,1370,736,0.8625774877650897,0.18500892325996432,0.29703915950334286,0.904048186020451,0.09595181397954895,0.22800586510263932,0.6958512993387037,0.10969004893964111,12,14257,21,1035,0.9310929853181077,0.36363636363636365,0.011461318051575931,0.9985292057711164,0.001470794228883597,0.022222222222222223,0.6845017608457954,0.0021533442088091355,0.12511404366243076,0.022222222222222223,0.1542502387774594,0.055921696574225126
29,refine,0.121,1,315,12874,1404,732,0.8606199021207178,0.18324607329842932,0.3008595988538682,0.9016669001260681,0.09833309987393192,0.22776572668112802,0.6958512993387037,0.11216965742251224,12,14257,21,1035,0.9310929853181077,0.36363636363636365,0.011461318051575931,0.9985292057711164,0.001470794228883597,0.022222222222222223,0.6845017608457954,0.0021533442088091355,0.12499397445167512,0.022222222222222223,0.15616045845272206,0.05716150081566069
30,refine,0.124,1,303,12967,1311,744,0.865905383360522,0.18773234200743494,0.28939828080229224,0.9081804174254097,0.09181958257459027,0.22773393461104846,0.6958512993387037,0.10531810766721043,12,14258,20,1035,0.9311582381729201,0.375,0.011461318051575931,0.9985992435915394,0.0014007564084605687,0.022242817423540315,0.6845017608457954,0.0020880913539967376,0.12498837601729439,0.022242817423540315,0.15042979942693407,0.053703099510603584
31,refine,0.118,1,325,12773,1505,722,0.8546818923327896,0.17759562841530055,0.3104106972301815,0.8945930802633422,0.10540691973665779,0.22592978797358357,0.6958512993387037,0.11941272430668842,13,14253,25,1034,0.9308972267536705,0.34210526315789475,0.012416427889207259,0.9982490544894242,0.001750945510575711,0.023963133640552997,0.6845017608457954,0.002479608482871126,0.12494646080706828,0.023963133640552997,0.16141356255969438,0.060946166394779774
32,refine,0.123,1,306,12942,1336,741,0.8644698205546493,0.18635809987819732,0.2922636103151863,0.906429471914834,0.09357052808516599,0.22759390107846783,0.6958512993387037,0.10714518760195758,12,14258,20,1035,0.9311582381729201,0.375,0.011461318051575931,0.9985992435915394,0.0014007564084605687,0.022242817423540315,0.6845017608457954,0.0020880913539967376,0.12491835925100407,0.022242817423540315,0.1518624641833811,0.05461663947797716
33,coarse,0.12,1,319,12837,1441,728,0.8584665579119086,0.18125,0.3046800382043935,0.899075500770416,0.10092449922958398,0.22728892055575345,0.6958512993387037,0.11484502446982056,12,14256,22,1035,0.9310277324632953,0.35294117647058826,0.011461318051575931,0.9984591679506933,0.0015408320493066256,0.022201665124884366,0.6845017608457954,0.0022185970636215335,0.1247452928403189,0.022201665124884366,0.1580706781279847,0.058531810766721044
34,refine,0.12,1,319,12837,1441,728,0.8584665579119086,0.18125,0.3046800382043935,0.899075500770416,0.10092449922958398,0.22728892055575345,0.6958512993387037,0.11484502446982056,12,14256,22,1035,0.9310277324632953,0.35294117647058826,0.011461318051575931,0.9984591679506933,0.0015408320493066256,0.022201665124884366,0.6845017608457954,0.0022185970636215335,0.1247452928403189,0.022201665124884366,0.1580706781279847,0.058531810766721044
35,refine,0.125,1,300,13004,1274,747,0.8681239804241435,0.1905972045743329,0.28653295128939826,0.9107718167810618,0.08922818321893823,0.22892025944296066,0.6958512993387037,0.10270799347471452,11,14260,18,1036,0.9312234910277325,0.3793103448275862,0.010506208213944603,0.9987393192323855,0.0012606807676145118,0.02044609665427509,0.6845017608457954,0.0018923327895595432,0.12468317804861787,0.02044609665427509,0.14851957975167143,0.05230016313213703
36,refine,0.127,1,291,13061,1217,756,0.8712561174551386,0.1929708222811671,0.27793696275071633,0.9147639725451744,0.0852360274548256,0.2277886497064579,0.6958512993387037,0.09840130505709625,10,14266,12,1037,0.9315497553017944,0.45454545454545453,0.009551098376313277,0.9991595461549236,0.0008404538450763413,0.018709073900841908,0.6845017608457954,0.001435562805872757,0.12324886180364991,0.018709073900841908,0.1437440305635148,0.049918433931484506
37,coarse,0.13,1,279,13147,1131,768,0.8760848287112561,0.19787234042553192,0.2664756446991404,0.9207872251015549,0.07921277489844517,0.2271062271062271,0.6958512993387037,0.09200652528548124,10,14267,11,1037,0.9316150081566068,0.47619047619047616,0.009551098376313277,0.9992295839753467,0.0007704160246533128,0.018726591760299626,0.6845017608457954,0.0013703099510603588,0.12291640943326336,0.018726591760299626,0.13801337153772686,0.0466884176182708
38,refine,0.13,1,279,13147,1131,768,0.8760848287112561,0.19787234042553192,0.2664756446991404,0.9207872251015549,0.07921277489844517,0.2271062271062271,0.6958512993387037,0.09200652528548124,10,14267,11,1037,0.9316150081566068,0.47619047619047616,0.009551098376313277,0.9992295839753467,0.0007704160246533128,0.018726591760299626,0.6845017608457954,0.0013703099510603588,0.12291640943326336,0.018726591760299626,0.13801337153772686,0.0466884176182708
39,refine,0.126,1,291,13030,1248,756,0.8692332789559544,0.18908382066276802,0.27793696275071633,0.9125928001120606,0.08740719988793949,0.22505800464037123,0.6958512993387037,0.10042414355628058,11,14263,15,1036,0.9314192495921697,0.4230769230769231,0.010506208213944603,0.9989494326936545,0.0010505673063454265,0.020503261882572225,0.6845017608457954,0.001696574225122349,0.12278063326147173,0.020503261882572225,0.14422158548233047,0.051060358890701464
40,refine,0.129,1,282,13116,1162,765,0.874257748776509,0.19529085872576177,0.2693409742120344,0.9186160526684409,0.08138394733155904,0.22641509433962262,0.6958512993387037,0.09422512234910277,10,14267,11,1037,0.9316150081566068,0.47619047619047616,0.009551098376313277,0.9992295839753467,0.0007704160246533128,0.018726591760299626,0.6845017608457954,0.0013703099510603588,0.12257084304996112,0.018726591760299626,0.13944603629417385,0.04779771615008156
41,refine,0.128,1,285,13088,1190,762,0.872626427406199,0.19322033898305085,0.2722063037249284,0.9166549936965962,0.08334500630340384,0.22601110229976212,0.6958512993387037,0.09624796084828711,10,14266,12,1037,0.9315497553017944,0.45454545454545453,0.009551098376313277,0.9991595461549236,0.0008404538450763413,0.018709073900841908,0.6845017608457954,0.001435562805872757,0.12236008810030202,0.018709073900841908,0.14087870105062084,0.04884176182707994
42,coarse,0.14,1,236,13396,882,811,0.8895269168026101,0.2110912343470483,0.22540592168099333,0.9382266423868889,0.06177335761311108,0.21801385681293303,0.6958512993387037,0.07295269168026101,4,14272,6,1043,0.9315497553017944,0.4,0.0038204393505253103,0.9995797730774618,0.00042022692253817064,0.007568590350047304,0.6845017608457954,0.0006525285481239804,0.11279122358149017,0.007568590350047304,0.11461318051575932,0.036802610114192495
43,coarse,0.15,1,194,13606,672,853,0.9004893964110929,0.22401847575057737,0.18529130850047756,0.9529345846757249,0.047065415324275106,0.2028227914270779,0.6958512993387037,0.056508972267536706,0,14273,5,1047,0.9313539967373573,0.0,0.0,0.9996498108978848,0.0003501891021151422,0.0,0.6845017608457954,0.0003262642740619902,0.10141139571353895,0.0,0.09264565425023878,0.028417618270799347
44,coarse,0.16,1,162,13766,512,885,0.90884176182708,0.2403560830860534,0.15472779369627507,0.9641406359434095,0.035859364056590556,0.1882626380011621,0.6958512993387037,0.04398042414355628,0,14277,1,1047,0.9316150081566068,0.0,0.0,0.999929962179577,7.003782042302843e-05,0.0,0.6845017608457954,6.525285481239805e-05,0.09413131900058105,0.0,0.07736389684813753,0.02202283849918434
45,coarse,0.17,1,136,13878,400,911,0.9144535073409462,0.2537313432835821,0.12989493791786055,0.9719848718307886,0.028015128169211374,0.17182564750473783,0.6958512993387037,0.03497553017944535,0,14277,1,1047,0.9316150081566068,0.0,0.0,0.999929962179577,7.003782042302843e-05,0.0,0.6845017608457954,6.525285481239805e-05,0.08591282375236892,0.0,0.06494746895893028,0.017520391517128874
46,coarse,0.18,1,109,13981,297,938,0.9194127243066884,0.2684729064039409,0.1041069723018147,0.9791987673343605,0.020801232665639446,0.15003441156228492,0.6958512993387037,0.026492659053833606,0,14277,1,1047,0.9316150081566068,0.0,0.0,0.999929962179577,7.003782042302843e-05,0.0,0.6845017608457954,6.525285481239805e-05,0.07501720578114246,0.0,0.05205348615090735,0.013278955954323003
47,coarse,0.19,1,78,14049,229,969,0.9218270799347471,0.254071661237785,0.07449856733524356,0.9839613391231264,0.01603866087687351,0.11521418020679468,0.6958512993387037,0.0200326264274062,0,14277,1,1047,0.9316150081566068,0.0,0.0,0.999929962179577,7.003782042302843e-05,0.0,0.6845017608457954,6.525285481239805e-05,0.05760709010339734,0.0,0.03724928366762178,0.010048939641109299
48,coarse,0.2,1,58,14104,174,989,0.9241109298531811,0.25,0.055396370582617004,0.9878134192463931,0.012186580753606948,0.09069585613760751,0.6958512993387037,0.015138662316476346,0,14277,1,1047,0.9316150081566068,0.0,0.0,0.999929962179577,7.003782042302843e-05,0.0,0.6845017608457954,6.525285481239805e-05,0.04534792806880376,0.0,0.027698185291308502,0.007601957585644372
49,coarse,0.21,1,41,14141,137,1006,0.9254159869494291,0.2303370786516854,0.039159503342884434,0.9904048186020451,0.009595181397954896,0.0669387755102041,0.6958512993387037,0.011615008156606852,0,14277,1,1047,0.9316150081566068,0.0,0.0,0.999929962179577,7.003782042302843e-05,0.0,0.6845017608457954,6.525285481239805e-05,0.03346938775510205,0.0,0.019579751671442217,0.005840130505709625
50,coarse,0.22,1,31,14170,108,1016,0.9266557911908646,0.22302158273381295,0.029608404966571154,0.992435915394313,0.007564084605687071,0.052276559865092755,0.6958512993387037,0.009070146818923328,0,14277,1,1047,0.9316150081566068,0.0,0.0,0.999929962179577,7.003782042302843e-05,0.0,0.6845017608457954,6.525285481239805e-05,0.026138279932546377,0.0,0.014804202483285577,0.004567699836867863
51,coarse,0.23,1,24,14195,83,1023,0.9278303425774878,0.22429906542056074,0.022922636103151862,0.9941868609048886,0.00581313909511136,0.04159445407279029,0.6958512993387037,0.00698205546492659,0,14277,1,1047,0.9316150081566068,0.0,0.0,0.999929962179577,7.003782042302843e-05,0.0,0.6845017608457954,6.525285481239805e-05,0.020797227036395145,0.0,0.011461318051575931,0.003523654159869494
52,coarse,0.24,1,18,14208,70,1029,0.9282871125611746,0.20454545454545456,0.017191977077363897,0.995097352570388,0.0049026474296119905,0.03171806167400881,0.6958512993387037,0.005742251223491028,0,14277,1,1047,0.9316150081566068,0.0,0.0,0.999929962179577,7.003782042302843e-05,0.0,0.6845017608457954,6.525285481239805e-05,0.015859030837004406,0.0,0.008595988538681949,0.002903752039151713
53,coarse,0.25,1,12,14225,53,1035,0.9290048939641109,0.18461538461538463,0.011461318051575931,0.9962879955175795,0.0037120044824205073,0.021582733812949638,0.6958512993387037,0.004241435562805873,0,14278,0,1047,0.9316802610114192,0.0,0.0,1.0,0.0,0.0,0.6845017608457954,0.0,0.010791366906474819,0.0,0.0057306590257879654,0.0021207177814029365
54,coarse,0.26,1,11,14235,43,1036,0.9295921696574225,0.2037037037037037,0.010506208213944603,0.9969883737218098,0.003011626278190223,0.019981834695731154,0.6958512993387037,0.003523654159869494,0,14278,0,1047,0.9316802610114192,0.0,0.0,1.0,0.0,0.0,0.6845017608457954,0.0,0.009990917347865577,0.0,0.0052531041069723014,0.001761827079934747
55,coarse,0.27,1,8,14246,32,1039,0.9301141924959216,0.2,0.007640878701050621,0.997758789746463,0.0022412102535369098,0.014719411223551058,0.6958512993387037,0.0026101141924959217,0,14278,0,1047,0.9316802610114192,0.0,0.0,1.0,0.0,0.0,0.6845017608457954,0.0,0.007359705611775529,0.0,0.0038204393505253103,0.0013050570962479609
56,coarse,0.28,1,5,14250,28,1042,0.930179445350734,0.15151515151515152,0.004775549188156638,0.9980389410281552,0.0019610589718447964,0.009259259259259259,0.6958512993387037,0.0021533442088091355,0,14278,0,1047,0.9316802610114192,0.0,0.0,1.0,0.0,0.0,0.6845017608457954,0.0,0.004629629629629629,0.0,0.002387774594078319,0.0010766721044045678
57,coarse,0.3,1,4,14260,18,1043,0.9307667210440457,0.18181818181818182,0.0038204393505253103,0.9987393192323855,0.0012606807676145118,0.007483629560336763,0.6958512993387037,0.001435562805872757,0,14278,0,1047,0.9316802610114192,0.0,0.0,1.0,0.0,0.0,0.6845017608457954,0.0,0.0037418147801683817,0.0,0.0019102196752626551,0.0007177814029363785
58,coarse,0.29,1,4,14257,21,1043,0.9305709624796085,0.16,0.0038204393505253103,0.9985292057711164,0.001470794228883597,0.007462686567164179,0.6958512993387037,0.0016313213703099511,0,14278,0,1047,0.9316802610114192,0.0,0.0,1.0,0.0,0.0,0.6845017608457954,0.0,0.0037313432835820895,0.0,0.0019102196752626551,0.0008156606851549756
59,coarse,0.33,1,3,14269,9,1044,0.9312887438825449,0.25,0.0028653295128939827,0.9993696596161927,0.0006303403838072559,0.0056657223796034,0.6958512993387037,0.0007830342577487765,0,14278,0,1047,0.9316802610114192,0.0,0.0,1.0,0.0,0.0,0.6845017608457954,0.0,0.0028328611898017,0.0,0.0014326647564469914,0.00039151712887438824
60,coarse,0.32,1,3,14266,12,1044,0.9310929853181077,0.2,0.0028653295128939827,0.9991595461549236,0.0008404538450763413,0.005649717514124293,0.6958512993387037,0.0009787928221859706,0,14278,0,1047,0.9316802610114192,0.0,0.0,1.0,0.0,0.0,0.6845017608457954,0.0,0.0028248587570621464,0.0,0.0014326647564469914,0.0004893964110929853
